Ray Rice,11289,RB
Adrian Peterson,10452,RB
Arian Foster,12497,RB
Michael Vick,2549,QB
Jamaal Charles,11307,RB
Chris Johnson,11258,RB
LeSean McCoy,12514,RB
Maurice Jones-Drew,9646,RB
Aaron Rodgers,8439,QB
Andre Johnson,4461,WR
Roddy White,8442,WR
Rashard Mendenhall,11257,RB
Michael Turner,5679,RB
Drew Brees,2580,QB
Darren McFadden,11238,RB
Steven Jackson,5549,RB
Frank Gore,8479,RB
Greg Jennings,9638,WR
Peyton Hillis,11461,RB
Larry Fitzgerald,5528,WR
Matt Forte,11278,RB
DeAngelo Williams,9613,RB
Calvin Johnson,10447,WR
Hakeem Nicks,12586,WR
Felix Jones,11256,RB
Tom Brady,2330,QB
Mike Wallace,12601,WR
Ahmad Bradshaw,10693,RB
Reggie Wayne,2578,WR
Peyton Manning,1428,QB
Philip Rivers,5529,QB
Miles Austin,10147,WR
DeSean Jackson,11283,WR
Vincent Jackson,8475,WR
Knowshon Moreno,12516,RB
Jeremy Maclin,12579,WR
Matt Schaub,5615,QB
Antonio Gates,5362,TE
Dez Bryant,13215,WR
LeGarrette Blount,13213,RB
Dwayne Bowe,10467,WR
BenJarvus Green-Ellis,11754,RB
Marques Colston,9838,WR
Jermichael Finley,11325,TE
Mike Williams,3045138,WR
Brandon Marshall,9705,WR
Santonio Holmes,9611,WR
Matt Ryan,11237,QB
Jahvid Best,13205,RB
Shonn Greene,12500,RB
Ryan Grant,9475,RB
Jason Witten,4527,TE
Tony Romo,5209,QB
Brandon Lloyd,4582,WR
Dallas Clark,4482,TE
Ben Roethlisberger,5536,QB
Ryan Mathews,13204,RB
Beanie Wells,12525,RB
Mark Ingram,13981,RB
Percy Harvin,12569,WR
Anquan Boldin,4512,WR
Johnny Knox,12678,WR
Joseph Addai,9616,RB
Steve Johnson,11458,WR
Wes Welker,5941,WR
Mario Manningham,11329,WR
Fred Jackson,10195,RB
Cedric Benson,8419,RB
Austin Collie,12561,WR
Vernon Davis,9592,TE
Marshawn Lynch,10456,RB
Kenny Britt,12556,WR
Chad Ochocinco,2584,WR
Tim Hightower,11383,RB
Josh Freeman,12473,QB
Pierre Garcon,11439,WR
Malcom Floyd,6016,WR
Sidney Rice,10488,WR
Steelers D/ST,-16023,D/ST
Owen Daniels,9684,TE
James Starks,13214,RB
Jonathan Stewart,11247,RB
Brandon Jacobs,8524,RB
Eagles D/ST,-16021,D/ST
Tony Gonzalez,1231,TE
Santana Moss,2564,WR
Joe Flacco,11252,QB
Plaxico Burress,2139,WR
A.J. Green,13983,WR
Julio Jones,13982,WR
Marcedes Lewis,9614,TE
Mike Tolbert,11658,RB
Daniel Thomas,14056,RB
Steve Smith,2622,WR
Mike Thomas,12598,WR
Greg Olsen,10475,TE
Matthew Stafford,12483,QB
Jimmy Graham,13232,TE
Packers D/ST,-16009,D/ST
Eli Manning,5526,QB
Michael Bush,10544,RB
Sam Bradford,13197,QB
Reggie Bush,9588,RB
Roy Williams,5532,WR
Kellen Winslow,5531,TE
Brandon Pettigrew,12549,TE
C.J. Spiller,13203,RB
Jay Cutler,9597,QB
Rob Bironas,9235,K
Ryan Fitzpatrick,8664,QB
Antonio Brown,13934,WR
Mike Sims-Walker,10523,WR
Pierre Thomas,10713,RB
LaDainian Tomlinson,2553,RB
Willis McGahee,4481,RB
Jordy Nelson,11270,WR
Lance Moore,9400,WR
Ryan Torain,11362,RB
Braylon Edwards,8418,WR
Robert Meachem,10471,WR
Matt Cassel,8644,QB
Montario Hardesty,13208,RB
Lee Evans,5538,WR
Kevin Kolb,10480,QB
Jets D/ST,-16020,D/ST
Nate Kaeding,5590,K
Mark Sanchez,12482,QB
Jerome Harrison,9731,RB
Marion Barber,8523,RB
Zach Miller,10482,TE
Hines Ward,1494,WR
Michael Crabtree,12563,WR
Danny Woodhead,11788,RB
Kyle Orton,8520,QB
Matt Hasselbeck,1575,QB
Thomas Jones,2138,RB
James Jones,10522,WR
Neil Rackers,2300,K
Patriots D/ST,-16017,D/ST
Ben Tate,13210,RB
Josh Brown,4680,K
Jacoby Ford,13363,WR
Jared Cook,12537,TE
Falcons D/ST,-16001,D/ST
Ravens D/ST,-16033,D/ST
Davone Bess,11678,WR
Bears D/ST,-16003,D/ST
Mason Crosby,10636,K
Rob Gronkowski,13229,TE
Donovan McNabb,1753,QB
Chargers D/ST,-16024,D/ST
Giants D/ST,-16019,D/ST
Lions D/ST,-16008,D/ST
Saints D/ST,-16018,D/ST
Raiders D/ST,-16013,D/ST
Chris Cooley,5606,TE
Stephen Gostkowski,9704,K
Matt Bryant,4333,K
Sebastian Janikowski,2148,K
Alex Henery,14123,K
Ricky Williams,1756,RB
David Garrard,3636,QB
Deion Branch,3593,WR
Robbie Gould,9354,K
Cadillac Williams,8420,RB
Jay Feely,2548,K
Nick Folk,10621,K
Cam Newton,13994,QB
DeMarco Murray,14005,RB
Victor Cruz,13553,WR
Trent Richardson,14884,RB
Darren Sproles,8544,RB
Aaron Hernandez,13230,TE
Demaryius Thomas,13216,WR
Doug Martin,14885,RB
Stevan Ridley,14028,RB
Eric Decker,13271,WR
Torrey Smith,14032,WR
49ers D/ST,-16025,D/ST
Denarius Moore,14153,WR
Robert Griffin III,14875,QB
David Wilson,14887,RB
Russell Wilson,14881,QB
Kevin Smith,11298,RB
Isaac Redman,12898,RB
Nate Washington,9307,WR
Donald Brown,12489,RB
Titus Young,14034,WR
Justin Blackmon,14907,WR
Texans D/ST,-16034,D/ST
Toby Gerhart,13211,RB
Jacob Tamme,11373,TE
Roy Helu,14192,RB
Andrew Luck,14874,QB
Fred Davis,11282,TE
Randy Moss,1433,WR
Darrius Heyward-Bey,12570,WR
Jon Baldwin,13986,WR
Nate Burleson,4529,WR
Randall Cobb,14053,WR
Jermaine Gresham,13228,TE
Laurent Robinson,10519,WR
David Akers,1716,K
Dan Bailey,14322,K
Cowboys D/ST,-16006,D/ST
Jacquizz Rodgers,14193,RB
Dustin Keller,11264,TE
Seahawks D/ST,-16026,D/ST
Alex Smith,8416,QB
Alshon Jeffery,14912,WR
Matt Prater,11122,K
Brent Celek,10605,TE
Shane Vereen,14017,RB
Ryan Williams,14051,RB
Garrett Hartley,11543,K
Mike Goodson,12499,RB
Alfred Morris,15009,RB
Danny Amendola,11674,WR
Eddie Lacy,15848,RB
Montee Ball,15823,RB
Colin Kaepernick,14001,QB
Daryl Richardson,15111,RB
Chris Ivory,13587,RB
Giovani Bernard,15826,RB
Lamar Miller,14886,RB
T.Y. Hilton,14924,WR
Tavon Austin,15786,WR
Cecil Shorts,14184,WR
Andre Brown,12490,RB
Vick Ballard,14898,RB
Kyle Rudolph,14054,TE
Emmanuel Sanders,13295,WR
Golden Tate,13217,WR
Kenbrell Thompkins,16381,WR
Chris Givens,15078,WR
Ronnie Hillman,14895,RB
Andy Dalton,14012,QB
Brandon Myers,12705,TE
Bryce Brown,15092,RB
Bengals D/ST,-16004,D/ST
Josh Gordon,15705,WR
Bilal Powell,14129,RB
Mikel Leshoure,14052,RB
Jonathan Dwyer,13206,RB
Vincent Brown,14027,WR
Jordan Cameron,14189,TE
Martellus Bennett,11295,TE
Bernard Pierce,14891,RB
DeAndre Hopkins,15795,WR
Cordarrelle Patterson,15807,RB
Carson Palmer,4459,QB
Ryan Broyles,14919,WR
Coby Fleener,14900,TE
Phil Dawson,1440,K
Broncos D/ST,-16007,D/ST
Blair Walsh,15058,K
