Darren Fells,15773,TE
Kalen Ballage,3128774,RB
Tavon Austin,15786,WR
Isaiah McKenzie,3128724,WR
DeAndre Hopkins,15795,WR
Sony Michel,3128721,RB
Rodrigo Blankenship,3915165,K
Nick Chubb,3128720,RB
Cordarrelle Patterson,15807,RB
Keenan Allen,15818,WR
Le'Veon Bell,15825,RB
Giovani Bernard,15826,RB
Zach Ertz,15835,TE
Mike Glennon,15837,QB
Marquise Goodwin,15839,WR
Travis Kelce,15847,TE
Geno Smith,15864,QB
Eno Benjamin,4242873,RB
Robert Woods,15880,WR
Ryan Griffin,15887,TE
Latavius Murray,15920,RB
Jermar Jefferson,4374033,RB
Preston Williams,3915399,WR
John Kelly,3915381,RB
Dustin Hopkins,15965,K
Rex Burkhead,15971,RB
Kyle Juszczyk,16002,RB
Kenny Stills,16016,WR
Chris Evans,4046530,RB
Laviska Shenault Jr.,4243160,WR
D'Andre Swift,4259545,RB
Ty Johnson,3915411,RB
DJ Moore,3915416,WR
KJ Hill Jr.,3915522,WR
Joe Burrow,3915511,QB
Shi Smith,4259499,WR
Tyler Conklin,3915486,TE
Salvon Ahmed,4243315,RB
Amon-Ra St. Brown,4374302,WR
Chase Claypool,4046692,WR
Josh Lambo,2998120,K
Tony Jones Jr.,4046676,RB
Ian Book,4046678,QB
Kylin Hill,4259805,RB
Demetrius Harris,16318,TE
Brandon McManus,16339,K
Riley Patterson,4243371,K
Gabriel Davis,4243537,WR
Keke Coutee,3915823,WR
Adam Thielen,16460,WR
Brett Maher,16486,K
Jack Doyle,16504,TE
Tyler Johnson,2310331,WR
Miles Boykin,3932423,WR
Jaelon Darden,4243830,WR
Equanimeous St. Brown,3932442,WR
Mo Alie-Cox,2998565,TE
Jalen Guyton,3932430,WR
Sammy Watkins,16725,WR
Teddy Bridgewater,16728,QB
Brandin Cooks,16731,WR
Eric Ebron,16732,TE
Odell Beckham Jr.,16733,WR
Tony Pollard,3916148,RB
Mike Evans,16737,WR
Derek Carr,16757,QB
Jimmy Garoppolo,16760,QB
Carlos Hyde,16777,RB
Jerick McKinnon,16782,RB
Richard Rodgers,16786,TE
Jarvis Landry,16790,WR
Allen Robinson II,16799,WR
Davante Adams,16800,WR
KhaDarel Hodge,3047876,WR
James Proche II,3916204,WR
Garrett Gilbert,16809,QB
Logan Thomas,16813,TE
Josh Jacobs,4047365,RB
Gunner Olszewski,4424106,WR
James White,16913,RB
J.D. McKissic,2572861,RB
Devonta Freeman,16944,RB
Lamar Jackson,3916387,QB
Albert Wilson,17051,WR
Cody Parkey,17082,K
Nyheim Hines,3916430,RB
Jakobi Meyers,3916433,WR
Diontae Johnson,3932905,WR
Dominik Eberle,3932960,K
DK Metcalf,4047650,WR
Carson Wentz,2573079,QB
A.J. Brown,4047646,WR
K.J. Osborn,3916566,WR
Tyree Jackson,3916564,TE
Willie Snead IV,17258,WR
Tajae Sharpe,2982828,WR
Keith Smith,17315,RB
Damien Williams,17359,RB
Chris Boswell,17372,K
N'Keal Harry,4047839,WR
Frank Darby,4047836,WR
Cairo Santos,17427,K
Cameron Brate,17453,TE
Tyler Higbee,2573401,TE
Darius Slayton,3916945,WR
James O'Shaughnessy,2508079,TE
Chester Rogers,2983209,WR
Davion Davis,3933568,WR
Alexander Mattison,4048244,RB
John Bates,4048228,TE
Pharoh Cooper,3048897,WR
Elliott Fry,3048898,K
Tyler Bass,3917232,K
David Johnson,2508176,RB
Kyler Murray,3917315,QB
Antony Auclair,4081127,TE
MyCole Pruitt,2508256,TE
Jody Fortson,4408854,TE
Dare Ogunbowale,2983509,RB
Ja'Marcus Bradley,3917569,WR
Malik Taylor,4408988,WR
Penny Hart,3917546,WR
Easop Winston Jr.,4245174,WR
Mike Strachan,4589245,WR
Kevin Rader,3049290,TE
Ke'Shawn Vaughn,3917612,RB
Brandon Zylstra,4294520,WR
Alec Ingold,3917668,RB
Nathan Cottrell,3917812,RB
Daniel Jones,3917792,QB
Antonio Gibson,4360294,RB
Trevor Lawrence,4360310,QB
Evan McPherson,4360234,K
Kyle Pitts,4360248,TE
Olamide Zaccheaus,3917914,WR
Brandon Allen,2574511,QB
Brycen Hopkins,3918003,TE
Brandon Aiyuk,4360438,WR
Dan Arnold,4212989,TE
C.J. Uzomah,2574576,TE
Gary Brightwell,4245645,RB
Alex Armah,4212884,RB
Nick Boyle,2574591,TE
Anthony Firkser,3049698,TE
Cam Sims,3115314,WR
Tom Brady,2330,QB
Josh Reynolds,3115306,WR
Kyle Allen,3115293,QB
Russell Gage,3115378,WR
Darrel Williams,3115375,RB
DJ Chark Jr.,3115394,WR
Jakob Johnson,3115349,RB
Leonard Fournette,3115364,RB
Ethan Wolf,3115360,TE
Daniel Helm,3115359,TE
Cody Hollister,3115443,WR
Younghoe Koo,3049899,K
Matt Breida,3049916,RB
Robby Anderson,2574808,WR
Josh Allen,3918298,QB
Tommylee Lewis,2574918,WR
Rashod Bateman,4360939,WR
Gerald Everett,3918639,TE
Malik Turner,3115928,WR
Justin Jefferson,4262921,WR
Anthony Miller,3050487,WR
Jake Elliott,3050478,K
Rodney Smith,3116074,RB
Chris Godwin,3116165,WR
Mike Gesicki,3116164,TE
Jason Cabinda,3116158,RB
Zach Wilson,4361259,QB
Justin Jackson,3116136,RB
David Blough,3116188,QB
Pat Freiermuth,4361411,TE
Dyami Brown,4361577,WR
Javonte Williams,4361579,RB
Mason Rudolph,3116407,QB
Tyreek Hill,3116406,WR
Mark Andrews,3116365,TE
Samaje Perine,3116389,RB
Joe Mixon,3116385,RB
Quez Watkins,4050373,WR
Jauan Jennings,3886598,WR
Dalvin Cook,3116593,RB
Elijhaa Penny,2575965,RB
Reggie Bonnafon,3116642,RB
Jaylen Samuels,3116721,RB
Chris Carson,3919596,RB
Matt Ammendola,3919602,K
Myles Gaskin,3886818,RB
P.J. Walker,3051308,QB
Mike White,3051381,QB
Ezekiel Elliott,3051392,RB
Deonte Harris,4411193,WR
Boston Scott,3051439,RB
Dwayne Washington,3002265,RB
Ameer Abdullah,2576336,RB
Melvin Gordon III,2576434,RB
Derek Watt,2576450,RB
Nick Vannett,2576399,TE
Raheem Mostert,2576414,RB
Adam Humphries,2576491,WR
Austin Seibert,3821683,K
Jaret Patterson,4362452,RB
Dalton Schultz,3117256,TE
Christian McCaffrey,3117251,RB
Chris Moore,2576581,WR
Brevin Jordan,4362504,TE
DeVante Parker,2576623,WR
Trevor Siemian,2511109,QB
Marquez Valdes-Scantling,3051738,WR
Shane Zylstra,4608362,TE
Jack Stoll,4034862,TE
Terrace Marshall Jr.,4362630,WR
Ja'Marr Chase,4362628,WR
Ricky Seals-Jones,3051806,TE
La'Mical Perine,4034952,RB
Freddie Swain,4034950,WR
Eddy Pineiro,4034949,K
Laquon Treadwell,3051889,WR
David Sills V,3871102,WR
Adam Shaheen,4198676,TE
Austin Ekeler,3068267,RB
Daniel Carlson,3051909,K
Peyton Barber,3051902,RB
Jameis Winston,2969939,QB
Jamison Crowder,2576716,WR
Duke Johnson,2969962,RB
Evan Engram,3051876,TE
Mecole Hardman,4035004,WR
Benny Snell Jr.,4035072,RB
Stephen Anderson,2576854,TE
Charlie Woerner,4035020,TE
Johnny Mundt,3052096,TE
Albert Okwuegbunam,4035115,TE
Damarea Crockett,4035102,RB
Scottie Phillips,4362878,RB
Darren Waller,2576925,TE
Justin Fields,4362887,QB
Darrell Daniels,3052166,TE
Phillip Lindsay,3052117,RB
Marquez Callaway,4035170,WR
Marcus Mariota,2576980,QB
John Ross,3052177,WR
Trayveon Williams,4035222,RB
Ty Montgomery,2577134,WR
Jake Kumerow,3085107,WR
Mekhi Sargent,4379504,RB
Denzel Mims,4035403,WR
Tyler Lockett,2577327,WR
Tim Patrick,3134353,WR
Chase McLaughlin,3150744,K
Dak Prescott,2577417,QB
David Montgomery,4035538,RB
Kene Nwangwu,4035537,RB
Ben Skowronek,4035656,WR
James Robinson,4052042,RB
Baker Mayfield,3052587,QB
Gabe Nabers,4035611,RB
Aldrick Rosas,3068939,K
Michael Pittman Jr.,4035687,WR
Zack Moss,4035676,RB
Tyler Huntley,4035671,QB
Maxx Williams,2970726,TE
Eric Tomlinson,2511973,TE
Demetric Felton,4035826,RB
Damiere Byrd,2577667,WR
Jakeem Grant Sr.,2577641,WR
Quintez Cephus,4035793,WR
Khalil Herbert,4035886,RB
William Fuller V,3052876,WR
Durham Smythe,3052897,TE
Garrett Griffin,2987440,TE
Dez Fitzpatrick,4036026,WR
Ben Roethlisberger,5536,QB
Tommy Hudson,3675550,TE
Matt Gay,4249087,K
Maurice Ffrench,4036055,WR
D.J. Montgomery,4249030,WR
Noah Fant,4036131,TE
T.J. Hockenson,4036133,TE
Dominique Dafney,4036129,TE
Jake Funk,4036224,RB
Sean McKeon,4036275,TE
Auden Tate,3921564,WR
Pharaoh Brown,2971281,TE
Michael Gallup,4036348,WR
Cedrick Wilson,4036335,WR
Byron Pringle,4036416,WR
Jordan Love,4036378,QB
Josh Oliver,3921690,TE
Hunter Renfrow,3135321,WR
Darrynton Evans,4036431,RB
Ka'imi Fairbairn,2971573,K
Marvin Hall,2578369,WR
Nelson Agholor,2971618,WR
Marcus Johnson,2971718,WR
Jacoby Brissett,2578570,QB
Chris Conley,2578533,WR
Chase Edmonds,3119195,RB
JaQuan Hardy,4069817,RB
Jalen Richard,2972091,RB
Jason Moore,4069806,WR
Jacques Patrick,3693033,RB
Cyril Grayson,4217370,WR
Greg Dortch,4037235,WR
Jonnu Smith,3054212,TE
Nathan Peterman,2972236,QB
Breshad Perriman,2972460,WR
Cooper Rush,2972515,QB
Travis Homer,4037457,RB
Dezmon Patmon,4054085,WR
Ross Dwelley,3120303,TE
Phillip Dorsett II,2579604,WR
Alvin Kamara,3054850,RB
JuJu Smith-Schuster,3120348,WR
Blake Bell,2514206,TE
Ryquell Armstead,3923397,RB
Mitchell Wilcox,3923392,TE
Keelan Cole,3071572,WR
DeAndre Carter,2580216,WR
Kalif Raymond,2973405,WR
Gardner Minshew,4038524,QB
Dallas Goedert,3121023,TE
C.J. Board,2973626,WR
Chris Manhertz,2531358,TE
Bryan Edwards,4038818,WR
Parris Campbell,3121410,WR
Noah Brown,3121409,WR
Jesper Horsted,3940587,TE
Aaron Rodgers,8439,QB
Michael Burton,2515270,RB
Curtis Samuel,3121427,WR
Terry McLaurin,3121422,WR
Justin Herbert,4038941,QB
Harrison Butker,3055899,K
Devin Duvernay,4039050,WR
Collin Johnson,4039043,WR
Drew Lock,3924327,QB
Hayden Hurst,3924365,TE
Lil'Jordan Humphrey,4039057,WR
Ryan Fitzpatrick,8664,QB
Kylen Granson,4039160,TE
Mitchell Trubisky,3039707,QB
Trey Lance,4383351,QB
Andy Janovich,2974317,RB
Jonathan Ward,4039274,RB
Trevon Wesco,4039253,RB
Darrell Henderson Jr.,4039359,RB
Patrick Taylor,4039358,RB
Greg Ward,3040035,WR
Ray-Ray McCloud,3728262,WR
Reggie Gilliam,4039505,RB
Kendall Blanton,3122103,TE
J.J. Taylor,4039607,RB
George Kittle,3040151,TE
Trent Sherfield,3122168,WR
Chris Streveler,3040206,QB
Ryan Santoso,3040204,K
Kenny Golladay,2974858,WR
Robbie Gould,9354,K
Chris Myarick,3138744,TE
Johnny Stanton,3040499,RB
Cethan Carter,3040470,TE
Trent Taylor,3040569,WR
James Washington,3122449,WR
Calvin Ridley,3925357,WR
Damien Harris,3925347,RB
Derrick Gore,3925346,RB
Marcedes Lewis,9614,TE
Royce Freeman,3122672,RB
Mike Boone,3139033,RB
Mack Hollins,2991662,WR
Buddy Howell,3122716,RB
Tommy Sweeney,3122818,TE
Patrick Ricard,2975417,RB
Devontae Booker,3122866,RB
Blake Jarwin,2991767,TE
Dede Westbrook,3892889,WR
Jeff Wilson Jr.,3122976,RB
Michael Badgley,3123052,K
David Njoku,3123076,TE
Braxton Berrios,3123075,WR
Tyler Kroft,2582410,TE
Cameron Batson,3139456,WR
Taylor Heinicke,2565969,QB
Foster Moreau,3843945,TE
Chris Herndon,3123050,TE
Robert Tonyan,2975674,TE
C.J. Saunders,4040627,WR
Luke Farrell,4040612,TE
Patrick Mahomes,3139477,QB
Darnell Mooney,4040655,WR
Harrison Bryant,4040774,TE
Devin Singletary,4040761,RB
Marlon Mack,3139605,RB
Sean Mannion,2517017,QB
D'Ernest Johnson,3139602,RB
Trey Ragas,4040728,RB
Jalen Hurts,4040715,QB
Eric Saubert,2975863,TE
Jason Huntley,4040790,RB
Adrian Peterson,10452,RB
Rashaad Penny,3139925,RB
Nick Folk,10621,K
Mason Crosby,10636,K
Stefon Diggs,2976212,WR
Mike Davis,3025433,RB
Kristian Wilkerson,3910176,WR
Greg Joseph,3975763,K
Austin Walter,3123857,RB
Amari Cooper,2976499,WR
Taysom Hill,2468609,QB
Ito Smith,3123969,RB
Qadree Ollison,3123944,RB
Mike Thomas,3123986,WR
Joey Slye,3124084,K
Matt Prater,11122,K
Sterling Shepard,2976592,WR
Isaiah Ford,3124069,WR
Joshua Kelley,3910544,RB
Matt Ryan,11237,QB
Joe Flacco,11252,QB
DeSean Jackson,11283,WR
Chad Henne,11291,QB
Kevin White,3042435,WR
Wendell Smallwood,3042429,RB
Josh Johnson,11394,QB
Aaron Jones,3042519,RB
Danny Amendola,11674,WR
Jason Sanders,3124679,K
Cooper Kupp,2977187,WR
Corey Davis,3042778,WR
Tyron Johnson,3894912,WR
Rashard Higgins,3042910,WR
O.J. Howard,3043080,TE
Derrick Henry,3043078,RB
Demarcus Robinson,3043116,WR
D'Onta Foreman,3125116,RB
Zane Gonzalez,3043234,K
Nick Bawden,3125232,RB
Alex Erickson,2977800,WR
Zay Jones,3059722,WR
Austin Hooper,3043275,TE
Daniel Brown,2519013,TE
Deon Yelder,3059766,TE
Adam Trautman,3911853,TE
Graham Gano,12460,K
Brian Hoyer,12477,QB
Matthew Stafford,12483,QB
Jacob Hollister,3125404,TE
Dee Eskridge,4043016,WR
Jared Cook,12537,TE
Kareem Hunt,3059915,RB
Jordan Howard,3060022,RB
Zach Pascal,2978109,WR
Nick Mullens,3059989,QB
Donald Parham Jr.,3912092,TE
Ryan Succop,12731,K
Antoine Wesley,4043161,WR
Jaydon Mickens,2978308,WR
Christian Kirk,3895856,WR
Amari Rodgers,4239992,WR
Tee Higgins,4239993,WR
Ty'Son Williams,3895827,RB
AJ Dillon,4239934,RB
Hunter Long,4239944,TE
Christian Blake,3126002,WR
Cam Akers,4240021,RB
Tre' McKitty,4240023,TE
Ronald Jones II,3912550,RB
Sam Darnold,3912547,QB
JaMycal Hasty,3928925,RB
Colt McCoy,13199,QB
Andre Roberts,13226,WR
Rob Gronkowski,13229,TE
Jimmy Graham,13232,TE
KJ Hamler,4240380,WR
Emmanuel Sanders,13295,WR
Dontrell Hilliard,3126246,RB
Noah Gray,4240472,TE
Jeff Smith,3929118,WR
Deon Jackson,4240455,RB
Stanley Morgan,3699902,WR
Kadarius Toney,4240600,WR
DeeJay Dallas,4240631,RB
Lirim Hajrullahu,4682912,K
Deebo Samuel,3126486,WR
Devine Ozigbo,3699935,RB
Ihmir Smith-Marsette,4240573,WR
Michael Carter,4240657,RB
Kenneth Gainwell,4371733,RB
Dazz Newsome,4240661,WR
Kenny Yeboah,4044144,TE
Jake Fromm,4240689,QB
Seth Williams,4371974,WR
Kellen Mond,4240904,QB
Juwan Johnson,3929645,TE
Saquon Barkley,3929630,RB
Anthony Schwartz,4371986,WR
Antonio Brown,13934,WR
Jaylen Waddle,4372016,WR
Mark Ingram II,13981,RB
Julio Jones,13982,WR
A.J. Green,13983,WR
Nick Westbrook-Ikhine,3929785,WR
Blaine Gabbert,13987,QB
C.J. Beathard,2979520,QB
Cam Newton,13994,QB
Kaden Smith,4044452,TE
Tevin Coleman,2979477,RB
Andy Dalton,14012,QB
Wayne Gallman,3045127,RB
Jesse James,2979590,TE
Randall Cobb,14053,WR
Kyle Rudolph,14054,TE
Tom Kennedy,3126997,WR
Zach Gentry,3929924,TE
Luke Stocker,14099,TE
Tim Boyle,3045169,QB
Adam Prentice,3929914,RB
Tyler Boyd,3045144,WR
Chris Blewitt,3045141,K
Mike Williams,3045138,WR
James Conner,3045147,RB
Godwin Igwebuike,3045238,RB
Tyrod Taylor,14163,QB
Jamal Agnew,3061612,WR
Larry Rountree III,4241205,RB
Craig Reynolds,4421446,RB
Lee Smith,14215,TE
Patrick Laird,3127211,RB
Marquise Brown,4241372,WR
CeeDee Lamb,4241389,WR
Trey Sermon,4241401,RB
Corey Clement,3045260,RB
Rondale Moore,4372485,WR
Chuba Hubbard,4241416,RB
Dante Pettis,3127306,WR
Kenyan Drake,2979843,RB
Will Dissly,3127292,TE
Dawson Knox,3930086,TE
Elijah Moore,4372414,WR
Van Jefferson,3930066,WR
Rhamondre Stevenson,4569173,RB
Tristan Vizcaino,3127313,K
Drew Sample,3127310,TE
Ryan Nall,3127335,RB
Chris Hogan,14402,WR
Tylan Wallace,4241424,WR
Najee Harris,4241457,RB
Jerry Jeudy,4241463,WR
Mac Jones,4241464,QB
Henry Ruggs III,4241475,WR
DeVonta Smith,4241478,WR
Nick Bellore,14471,RB
Kendall Hinton,3700815,WR
Tua Tagovailoa,4241479,QB
Kendrick Bourne,3045523,WR
Elijah Mitchell,4241555,RB
Jonathan Williams,2980077,RB
Jeremy Sprinkle,2980073,TE
Tarik Black,4258170,WR
Nico Collins,4258173,WR
Jeremy McNichols,3127586,RB
Jalen Reagor,4241802,WR
Miles Sanders,4045163,RB
Tommy Tremble,4372780,TE
Falcons D/ST,-16001,D/ST
Bills D/ST,-16002,D/ST
Bears D/ST,-16003,D/ST
Bengals D/ST,-16004,D/ST
Browns D/ST,-16005,D/ST
Cowboys D/ST,-16006,D/ST
Broncos D/ST,-16007,D/ST
Lions D/ST,-16008,D/ST
Packers D/ST,-16009,D/ST
Titans D/ST,-16010,D/ST
Colts D/ST,-16011,D/ST
Chiefs D/ST,-16012,D/ST
Raiders D/ST,-16013,D/ST
Rams D/ST,-16014,D/ST
Dolphins D/ST,-16015,D/ST
Vikings D/ST,-16016,D/ST
Patriots D/ST,-16017,D/ST
Saints D/ST,-16018,D/ST
Giants D/ST,-16019,D/ST
Jets D/ST,-16020,D/ST
Eagles D/ST,-16021,D/ST
Cardinals D/ST,-16022,D/ST
Steelers D/ST,-16023,D/ST
Chargers D/ST,-16024,D/ST
49ers D/ST,-16025,D/ST
Seahawks D/ST,-16026,D/ST
Buccaneers D/ST,-16027,D/ST
Commanders D/ST,-16028,D/ST
Panthers D/ST,-16029,D/ST
Josiah Deguara,3914151,TE
Jaguars D/ST,-16030,D/ST
Ravens D/ST,-16033,D/ST
Texans D/ST,-16034,D/ST
Donovan Peoples-Jones,4258195,WR
Tyler Davis,3914240,TE
Sam Ehlinger,4241820,QB
Ian Thomas,4045305,TE
Chris Naggar,4241822,K
Ryan Tannehill,14876,QB
Nick Foles,14877,QB
Kirk Cousins,14880,QB
Russell Wilson,14881,QB
C.J. Ham,4012556,RB
Mohamed Sanu Sr.,14922,WR
T.Y. Hilton,14924,WR
Anthony McFarland Jr.,4241941,RB
Cody White,4241983,WR
Andy Isabella,3914328,WR
Jamaal Williams,2980453,RB
Trinity Benson,4422214,WR
Greg Zuerlein,14993,K
Scotty Miller,3914397,WR
Ashton Dulin,4061956,WR
Marvin Jones Jr.,15072,WR
Randy Bullock,15091,K
Malcolm Brown,2570986,RB
Case Keenum,15168,QB
Cole Kmet,4258595,TE
Clyde Edwards-Helaire,4242214,RB
Brock Wright,4242392,TE
Joshua Palmer,4242433,WR
Alex Collins,3046409,RB
Jonathan Taylor,4242335,RB
Keith Kirkwood,3046401,WR
Marcus Kemp,3046399,WR
Juwann Winfree,3128317,WR
Cole Beasley,15349,WR
Allen Lazard,3128390,WR
Derek Carrier,15403,TE
Davis Mills,4242546,QB
Hunter Henry,3046439,TE
Colby Parkinson,4242557,TE
Dax Milne,4373642,WR
Courtland Sutton,3128429,WR
Jordan Akins,3128452,TE
Tre'Quan Smith,3128451,WR
Matthew Wright,3128444,K
Jason Myers,2473037,K
Brandon Bolden,15478,RB
Tyrell Williams,2587819,WR
J.J. Arcega-Whiteside,3931397,WR
Trenton Irwin,3931391,WR
Geoff Swaim,3046704,TE
Justin Tucker,15683,K
Parker Hesse,3144991,TE
Kirk Merritt,3915145,WR
Josh Gordon,15705,WR
Jared Goff,3046779,QB
Brian Johnson,4046184,K
